t                        b_rel
2.832000000000000000e+04 2.063618582371984089e-01
2.856000000000000000e+04 2.063618978112223279e-01
2.880000000000000000e+04 2.063619050122150744e-01
2.904000000000000000e+04 2.063619496037749079e-01
2.928000000000000000e+04 2.063620732923192036e-01
2.952000000000000000e+04 2.063624984213012215e-01
2.976000000000000000e+04 2.063773813145899083e-01
3.000000000000000000e+04 2.520548649215679782e-01
3.024000000000000000e+04 2.520579982392464058e-01
3.048000000000000000e+04 2.528881158724984313e-01
3.072000000000000000e+04 2.593977742761429117e-01
3.096000000000000000e+04 3.340935108565165068e-01
3.120000000000000000e+04 3.340940442516568964e-01
3.144000000000000000e+04 3.340941938505319619e-01
3.168000000000000000e+04 3.340942499059316173e-01
3.192000000000000000e+04 3.340942652728998152e-01
3.216000000000000000e+04 3.340942451198924412e-01
3.240000000000000000e+04 3.135810041373854884e-01
3.264000000000000000e+04 3.135809645281175118e-01
3.288000000000000000e+04 3.135809593903870485e-01
3.312000000000000000e+04 3.135809756716780861e-01
3.336000000000000000e+04 3.135810190249818108e-01
3.360000000000000000e+04 3.135811192730924568e-01
3.384000000000000000e+04 3.135814262624077031e-01
3.408000000000000000e+04 9.999999509260869557e-01
3.432000000000000000e+04 9.999999740464330378e-01
3.456000000000000000e+04 9.999999783613379156e-01
3.480000000000000000e+04 9.999999789321505350e-01
3.504000000000000000e+04 9.999999787698425902e-01
3.528000000000000000e+04 9.999999779052294313e-01
3.552000000000000000e+04 9.999999747514201065e-01
3.576000000000000000e+04 9.999999550265594728e-01
3.600000000000000000e+04 6.453461127561795074e-02
3.624000000000000000e+04 6.453456953472513913e-02
3.648000000000000000e+04 6.453456775738621032e-02
3.672000000000000000e+04 6.453459262664590357e-02
3.696000000000000000e+04 6.453465796048135639e-02
3.720000000000000000e+04 6.453481999226998167e-02
3.744000000000000000e+04 6.453538382656563710e-02
3.768000000000000000e+04 2.131890930121317085e-01
3.792000000000000000e+04 2.131936809163466895e-01
3.816000000000000000e+04 2.131940855652872668e-01
3.840000000000000000e+04 2.131942208807896533e-01
3.864000000000000000e+04 2.131942791161831330e-01
3.888000000000000000e+04 2.131943020428775648e-01
3.912000000000000000e+04 2.131943004833131983e-01
3.936000000000000000e+04 2.131942650802310102e-01
3.960000000000000000e+04 2.287219254968172962e-08
3.984000000000000000e+04 1.068103115009340092e-08
4.008000000000000000e+04 9.359002315937821931e-09
4.032000000000000000e+04 9.461200350554807893e-09
